timestamp,cpu_predict_mhz
2013-08-20 09:01:52,2.6995862
2013-08-20 09:06:52,2.6461148
2013-08-20 09:11:52,2.6742992
2013-08-20 09:16:52,2.6925666
2013-08-20 09:21:52,2.6503158
2013-08-20 09:26:52,2.647672
2013-08-20 09:31:52,2.6822884
2013-08-20 09:36:52,2.6741707
2013-08-20 09:41:52,2.6534314
2013-08-20 09:46:52,2.67989
2013-08-20 09:51:52,2.652067
2013-08-20 09:56:52,2.6534314
2013-08-20 10:01:53,2.6716554
2013-08-20 10:06:53,2.6751537
2013-08-20 10:11:53,2.6716554
2013-08-20 10:16:53,2.6755152
2013-08-20 10:22:03,2.6747112
2013-08-20 10:27:03,2.6525207
2013-08-20 10:32:04,2.6521087
2013-08-20 10:37:04,2.6753867
2013-08-20 10:42:04,2.652067
2013-08-20 10:47:04,2.6838982
2013-08-20 10:52:04,2.6714852
2013-08-20 10:57:04,2.6880248
2013-08-20 11:02:04,2.6501231
2013-08-20 11:07:04,2.6840684
2013-08-20 11:12:04,2.682704
2013-08-20 11:17:04,2.6747112
2013-08-20 11:22:04,2.6742992
2013-08-20 11:27:04,2.6825755
2013-08-20 11:32:04,2.6745827
2013-08-20 11:37:04,2.6833873
2013-08-20 11:42:04,2.652067
2013-08-20 11:47:04,2.6838982
2013-08-20 11:52:04,2.652479
2013-08-20 11:57:04,2.674129
2013-08-20 12:02:04,2.6747112
2013-08-20 12:07:04,2.6840684
2013-08-20 12:12:04,2.6898556
2013-08-20 12:17:04,2.6503158
2013-08-20 12:22:04,2.6840298
2013-08-20 12:27:04,2.6521087
2013-08-20 12:32:04,2.6741707
2013-08-20 12:37:04,2.6741707
2013-08-20 12:42:04,2.674129
2013-08-20 12:47:04,2.6754935
2013-08-20 12:52:05,2.652067
2013-08-20 12:57:05,2.674129
2013-08-20 13:02:05,2.6487586
2013-08-20 13:07:05,2.6840684
2013-08-20 13:12:05,2.6716554
2013-08-20 13:17:05,2.6800601
2013-08-20 13:22:05,2.668516
2013-08-20 13:27:05,2.6521087
2013-08-20 13:32:05,2.68394
2013-08-20 13:37:05,2.6741707
2013-08-20 13:42:05,2.674129
2013-08-20 13:47:05,2.674129
2013-08-20 13:52:05,2.6754935
2013-08-20 13:57:05,2.1378477
2013-08-20 14:02:05,2.6756637
2013-08-20 14:07:05,2.6853943
2013-08-20 14:12:05,2.6501231
2013-08-20 14:17:05,2.6503158
2013-08-20 14:22:05,2.682704
2013-08-20 14:27:05,2.6521087
2013-08-20 14:32:05,2.671527
2013-08-20 14:37:05,2.6741707
2013-08-20 14:42:05,2.6914582
2013-08-20 14:47:05,2.652479
2013-08-20 14:52:05,2.6786675
2013-08-20 14:57:05,2.674541
2013-08-20 15:02:05,2.6501231
2013-08-20 15:07:06,2.6742992
2013-08-20 15:12:06,2.682704
2013-08-20 15:17:06,2.6756637
2013-08-20 15:22:06,2.6516802
2013-08-20 15:27:06,2.6518216
2013-08-20 15:32:06,2.6825755
2013-08-20 15:37:06,2.6741707
2013-08-20 15:42:06,2.652067
2013-08-20 15:47:06,2.674129
2013-08-20 15:52:06,2.6754935
2013-08-20 15:57:06,2.6534314
2013-08-20 16:02:06,2.6742992
2013-08-20 16:07:05,2.682704
2013-08-20 16:12:05,2.6742992
2013-08-20 16:17:05,2.6503158
2013-08-20 16:22:05,2.6716554
2013-08-20 16:27:05,2.68394
2013-08-20 16:32:05,2.6534731
2013-08-20 16:37:05,2.68394
2013-08-20 16:42:05,2.6714852
2013-08-20 16:47:05,2.6714852
2013-08-20 16:52:06,2.6494231
